refund_month,refund_reason_desc,province_name,payment_channel_code,refund_amount,refund_orders
2026-03,不想要了,,ALIPAY,716.2947,10
2026-03,不想要了,,COD,80.8707,3
2026-03,不想要了,,UNIONPAY,563.8282,5
2026-03,不想要了,,WECHAT,251.2704,3
2026-03,商品破损,,ALIPAY,522.5350,3
2026-03,商品破损,,COD,688.8215,6
2026-03,商品破损,,JD,58.0530,4
2026-03,商品破损,,UNIONPAY,292.6039,4
2026-03,商品破损,,WECHAT,38.0007,2
2026-03,商品质量问题,,ALIPAY,894.7237,7
2026-03,商品质量问题,,COD,222.3361,4
2026-03,商品质量问题,,JD,472.1706,4
2026-03,商品质量问题,,UNIONPAY,966.3065,3
2026-03,商品质量问题,,WECHAT,590.6983,4
2026-03,尺寸/规格不符,,ALIPAY,424.6908,7
2026-03,尺寸/规格不符,,COD,42.1992,2
2026-03,尺寸/规格不符,,JD,287.9100,3
2026-03,尺寸/规格不符,,UNIONPAY,490.4261,4
2026-03,尺寸/规格不符,,WECHAT,254.4810,3
2026-03,物流时效不满意,,ALIPAY,1199.8617,7
2026-03,物流时效不满意,,COD,21.6410,1
2026-03,物流时效不满意,,JD,19.2574,3
2026-03,物流时效不满意,,UNIONPAY,256.1272,2
2026-03,物流时效不满意,,WECHAT,300.4046,2
2026-03,用户拒收,,ALIPAY,526.5384,4
2026-03,用户拒收,,JD,546.8625,1
2026-03,用户拒收,,UNIONPAY,76.7600,1
2026-04,不想要了,,ALIPAY,1452.3405,8
2026-04,不想要了,,COD,163.1200,3
2026-04,不想要了,,JD,221.3494,8
2026-04,不想要了,,UNIONPAY,63.9200,3
2026-04,不想要了,,WECHAT,804.0835,4
2026-04,商品破损,,ALIPAY,583.6329,8
2026-04,商品破损,,COD,151.7301,5
2026-04,商品破损,,JD,264.0544,4
2026-04,商品破损,,UNIONPAY,827.3580,7
2026-04,商品破损,,WECHAT,508.2500,6
2026-04,商品质量问题,,ALIPAY,111.4307,5
2026-04,商品质量问题,,COD,654.6798,5
2026-04,商品质量问题,,JD,204.9378,6
2026-04,商品质量问题,,UNIONPAY,436.8940,6
2026-04,商品质量问题,,WECHAT,825.6000,4
2026-04,尺寸/规格不符,,ALIPAY,590.5074,6
2026-04,尺寸/规格不符,,COD,242.9771,3
2026-04,尺寸/规格不符,,JD,102.0855,3
2026-04,尺寸/规格不符,,UNIONPAY,478.2430,4
2026-04,尺寸/规格不符,,WECHAT,94.9600,1
2026-04,物流时效不满意,,ALIPAY,376.1827,5
2026-04,物流时效不满意,,COD,271.2637,7
2026-04,物流时效不满意,,JD,723.8019,4
2026-04,物流时效不满意,,UNIONPAY,1.2400,1
2026-04,物流时效不满意,,WECHAT,182.1400,5
2026-04,用户拒收,,ALIPAY,162.1300,3
2026-04,用户拒收,,COD,1318.9010,2
2026-04,用户拒收,,JD,639.3744,3
2026-04,用户拒收,,WECHAT,1135.1620,4
2026-05,不想要了,,ALIPAY,886.2660,12
2026-05,不想要了,,COD,489.9944,7
2026-05,不想要了,,JD,362.8851,4
2026-05,不想要了,,UNIONPAY,302.2611,3
2026-05,不想要了,,WECHAT,3.2400,1
2026-05,商品破损,,ALIPAY,962.9409,9
2026-05,商品破损,,COD,468.8311,3
2026-05,商品破损,,JD,311.1105,4
2026-05,商品破损,,UNIONPAY,190.3317,5
2026-05,商品破损,,WECHAT,624.2115,5
2026-05,商品质量问题,,ALIPAY,1934.3129,14
2026-05,商品质量问题,,COD,481.5918,4
2026-05,商品质量问题,,JD,544.9300,3
2026-05,商品质量问题,,UNIONPAY,253.4615,3
2026-05,商品质量问题,,WECHAT,714.3849,4
2026-05,尺寸/规格不符,,ALIPAY,2730.0940,18
2026-05,尺寸/规格不符,,COD,242.0431,5
2026-05,尺寸/规格不符,,JD,211.8947,4
2026-05,尺寸/规格不符,,UNIONPAY,711.1915,5
2026-05,尺寸/规格不符,,WECHAT,344.2900,3
2026-05,物流时效不满意,,ALIPAY,722.0915,6
2026-05,物流时效不满意,,COD,360.9756,4
2026-05,物流时效不满意,,JD,480.3772,2
2026-05,物流时效不满意,,UNIONPAY,328.9189,3
2026-05,用户拒收,,ALIPAY,323.7015,5
2026-05,用户拒收,,COD,229.6110,2
2026-05,用户拒收,,JD,275.3900,5
2026-05,用户拒收,,UNIONPAY,366.4264,3
2026-05,用户拒收,,WECHAT,24.5300,1
2026-06,不想要了,,ALIPAY,169.6137,3
2026-06,不想要了,,COD,722.2772,5
2026-06,不想要了,,JD,11.6100,1
2026-06,不想要了,,WECHAT,5.9800,1
2026-06,商品破损,,ALIPAY,232.1255,4
2026-06,商品破损,,COD,318.4712,1
2026-06,商品破损,,JD,83.4305,3
2026-06,商品破损,,UNIONPAY,43.7400,1
2026-06,商品破损,,WECHAT,73.3000,1
2026-06,商品质量问题,,ALIPAY,37.7000,1
2026-06,商品质量问题,,COD,852.5131,3
2026-06,商品质量问题,,JD,321.4555,4
2026-06,商品质量问题,,UNIONPAY,22.8762,1
2026-06,尺寸/规格不符,,ALIPAY,554.6923,3
2026-06,尺寸/规格不符,,COD,905.6334,5
2026-06,尺寸/规格不符,,JD,930.1896,4
2026-06,尺寸/规格不符,,UNIONPAY,214.0200,1
2026-06,尺寸/规格不符,,WECHAT,1.7300,1
2026-06,物流时效不满意,,ALIPAY,95.0600,2
2026-06,物流时效不满意,,COD,143.3900,3
2026-06,物流时效不满意,,UNIONPAY,27.4800,1
2026-06,物流时效不满意,,WECHAT,13.8300,1
2026-06,用户拒收,,ALIPAY,925.0354,6
2026-06,用户拒收,,COD,319.6912,2
2026-06,用户拒收,,JD,1110.5215,3
2026-06,用户拒收,,UNIONPAY,235.6800,2
2026-06,用户拒收,,WECHAT,1268.8765,6
